Corpus,Prompt,dataset,data column,data column classification,data value column,data value,Visual Task,ambiguous term,ambiguity reason,data transforms-keyword,data Transforms,new column name,derivation specified
NLVCorpus,Relationship between IMDB Rating and Rotten Tomatoes Rating,Movies,,,,,,,,,,,
NLVCorpus,what's the production budget for movies in different years?,Movies,,,,,,,,,,,
NLVCorpus,Movie gross and budge relationship based on genre,Movies,,,,,,,,,,,
NLVCorpus,Is there a correlation between acceleration and horsepower?,Cars,,,,,,,,,,,
NLVCorpus,How many heavy cars are in the dataset?,Cars,,,,,,,,,,,
NLVCorpus,show me imdb rating versus rotten tomatoes rating,Movies,,,,,,,,,,,
NLVCorpus,Are there any American 5 cylinder cars?,Cars,,,,,,,,,,,
NLVCorpus,How does displacement relate to fuel economy for cars from Europe v. USA?,Cars,,,,,,,,,,,
NLVCorpus,Which cylinder cars have the highest fuel economy?,Cars,,,,,,,,,,,
NLVCorpus,Which countries have the most cars in this dataset?,Cars,,,,,,,,,,,
NLVCorpus,Which countries have the highest acceleration for cars of different cylinders?,Cars,,,,,,,,,,,
NLVCorpus,How do the horsepowers of the cars from different regions change with years?,Cars,,,,,,,,,,,
NLVCorpus,The distribution of the number of cylinders of cars based on different origins.,Cars,,,,,,,,,,,
NLVCorpus,What is the correlation between displacement and MPG of cars with different origins?,Cars,,,,,,,,,,,
NLVCorpus,count the number of cars based on their origins.,Cars,,,,,,,,,,,
NLVCorpus,what is the correlation between horsepower and acceleration?,Cars,,,,,,,,,,,
NLVCorpus,Is there a correlation between cars' horsepower and acceleration?,Cars,,,,,,,,,,,
NLVCorpus,"how does displacement relate to mpg for individual models, partitioned by country",Cars,,,,,,,,,,,
NLVCorpus,"how does weight relate to acceleration for car models, small multiples by origin",Cars,,,,,,,,,,,
NLVCorpus,how does horsepower relate to acceleration for individual car models,Cars,,,,,,,,,,,
NLVCorpus,How much is the average of profit of each state?,Superstore,,,,,,,,,,,
NLVCorpus,How do the company earn in each state?,Superstore,,,,,,,,,,,
NLVCorpus,"Compare the number of models in USA, Japan and Europe ?",Cars,,,,,,,,,,,
NLVCorpus,What creative type of movie had the highest production budget for each content rating?,Movies,,,,,,,,,,,
NLVCorpus,What is the relationship between production budget and worldwide gross for each major genre?,Movies,,,,,,,,,,,
NLVCorpus,What is the relationship between release year and average production budget?,Movies,,,,,,,,,,,
