mixtral_query,mixtral_positive match,mixtral_llm match,mixtral_gt match,mixtral_resolution positive match,mixtral_resolution llm match,mixtral_resolution gt match,mixtral_ambiguity similarity match,mixtral_resolution similarity match
"in terms of the readings, group the similar timestamps for the sants",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.34009477,
"for o3, what is the distribution value",,,,,,,,
"in the whole table, show me the best record of pm10",,,Ambiguity found by gt only,,,Resolution found by gt only,,
"based on their pollution, group the locations together that are similar",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.65743804,
please look at the o3 data and find the minimum number,,,Ambiguity found by gt only,,,Resolution found by gt only,,
in what manner are good air quality records dispersed throughout the monitored region,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.56109554,0.19328305
are there any outliers in pm10 readings from a temporal perspective,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.16209064,0.29522964
work out the quality of o3,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.54195637,
put the readings in order according to their pm 10 values,,,,,,,,
is distribution for pm10 value anything other than normal,,,,,,,,
show me a day with extremely bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.2342507,0.06565342
what days had really bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.47816962,0.7039965
give me the count of missing readings in this table,,,,,,,,
"show me the data attribute that has the most na values, for example the hardest data points to collect",,,,,,,,
describe the change in air quality over one day describe the change in each air pollutant,,Ambiguity found by llm only,,,Resolution found by llm only,,,
could you search all available values for pm10 quality,,,,,,,,
are the o3 value and the pm10 value dependent on each other,,,,,,,,
"across the monitored region, what is the distribution of records for good air quality",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what months are hurricanes most common,,Ambiguity found by llm only,,,Resolution found by llm only,,,
where are storms most common depending on the time of year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there more storms in recent years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what does the distribution of the storms look like,,,,,,,,
what is the most frequent status over the year,,,,,,,,
"what is the main factor depending on different status (wind, time, pressure, or etc)",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what was the name of the earliest storm,,,,,,,,
how many hurricanes,,,,,,,,
what is the name of the largest storm,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what storm produced the greatest air pressure,,,,,,,,
how many storms are named caroline,,,,,,,,
what storm produced the least air pressure,,,,,,,,
what storm had the greatest diameter of tropical storm strength winds,,,,,,,,
what storm had the greatest diameter of hurricane strength winds,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how many storms occur per year, on average",,,,,,,,
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a correlation between wind speed and air pressure,,,,,,,,
is there a correlation between the duration of the storm and wind speed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
where have all hurricanes been recorded on the globe where are they more common,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what lat/long locations are most likely to experience hurricanes,,,,,,,,
what are lengths/timings of hurricane seasons in different regions of the world,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average storm length,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.49248755,0.32894176
what is the average time that it takes to go from depression to storm,,,,,,,,
"what is the relationship, if any, between wind and pressure",,,,,,,,
how does wind change over the course of each hurricane,,,,,,,,
average tropical storm diameter,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the relationship between storm day and hu_diameter,,,,,,,,
are there any repeat names of storms,,,,,,,,
what month has the strongest hurricanes,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.36089098,0.12261057
how has wind speed changed over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the maximum pressure of a certain hurricane,,Ambiguity found by llm only,,,Resolution found by llm only,,,
relationship between position and the strength of the hurricane,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.391869,0.38728973
average time for each hurricane status,,,,,,,,
which hurricane lasted the longest,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me the sales distribution of type 4046 in 2015,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what are the groups of regions according to three types of avocados sales ratio,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7738484,0.20771372
"using the three types of avocado's sales ratio, provide the groups of regions",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.33370817,0.080450594
provide the distribution of the sales in 2015 of type 4046,,,,,,,,
the oldest user was born in what year,,,,,,,,
indicate all the travels taking more than 1000 minutes,,,,,,,,
"show me a list of the tripe that take longer than 1,000 minutes",,,,,,,,
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,,,,,,,,
show me the relationship between age and travel time,,,,,,,,
do you know of any trip that would take longer than 1000 minutes,,,,,,,,
show me a list of neighborhoods with the number of male births from least to most,,,Ambiguity found by gt only,,,Resolution found by gt only,,
show me the distribution of births across all districts in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
let me know if there are groups of neighborhoods with similar birth gender ratios,,Ambiguity found by llm only,,,Resolution found by llm only,,,
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.18622428,0.1928654
which neighborhood in ciutat vella has more than 100 females born in the year 2013,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"barcelona's districts, please list each",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the distribution of all births in all districts between 2013 and 2017,,,,,,,,
what neighborhood had 56 boys born in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a correlation between acceleration and horsepower,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many heavy cars are in the dataset,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.63311064,0.4015559
are there any american 5 cylinder cars,,,,,,,,
how does displacement relate to fuel economy for cars from europe v usa,,,,,,,,
which cylinder cars have the highest fuel economy,,,,,,,,
which countries have the most cars in this dataset,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which countries have the highest acceleration for cars of different cylinders,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how do the horsepowers of the cars from different regions change with years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
