gpt_query,gpt_positive match,gpt_llm match,gpt_gt match,gpt_resolution positive match,gpt_resolution llm match,gpt_resolution gt match,gpt_ambiguity similarity match,gpt_resolution similarity match
"in terms of the readings, group the similar timestamps for the sants",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.62991554,
"for o3, what is the distribution value",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in the whole table, show me the best record of pm10",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.22285998,0.4700734
"based on their pollution, group the locations together that are similar",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.48788625,
please look at the o3 data and find the minimum number,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.13746345,0.19385578
in what manner are good air quality records dispersed throughout the monitored region,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.37534583,0.6016525
are there any outliers in pm10 readings from a temporal perspective,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.45214385,0.2719611
work out the quality of o3,Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.3413912,
put the readings in order according to their pm 10 values,,Ambiguity found by llm only,,,Resolution found by llm only,,,
is distribution for pm10 value anything other than normal,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me a day with extremely bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.6226026,0.15997739
what days had really bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4291525,0.574167
give me the count of missing readings in this table,,,,,,,,
"show me the data attribute that has the most na values, for example the hardest data points to collect",,,,,,,,
describe the change in air quality over one day describe the change in each air pollutant,,Ambiguity found by llm only,,,Resolution found by llm only,,,
could you search all available values for pm10 quality,,,,,,,,
are the o3 value and the pm10 value dependent on each other,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"across the monitored region, what is the distribution of records for good air quality",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.46749234,0.55938685
what months are hurricanes most common,,Ambiguity found by llm only,,,Resolution found by llm only,,,
where are storms most common depending on the time of year,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there more storms in recent years,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what does the distribution of the storms look like,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the most frequent status over the year,,,,,,,,
"what is the main factor depending on different status (wind, time, pressure, or etc)",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.49880946,0.3618105
what was the name of the earliest storm,,,,,,,,
how many hurricanes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the name of the largest storm,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.49090084,0.26136214
what storm produced the greatest air pressure,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how many storms are named caroline,,,,,,,,
what storm produced the least air pressure,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what storm had the greatest diameter of tropical storm strength winds,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what storm had the greatest diameter of hurricane strength winds,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how many storms occur per year, on average",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.3886177,0.38346618
is there a correlation between wind speed and air pressure,,,,,,,,
is there a correlation between the duration of the storm and wind speed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
where have all hurricanes been recorded on the globe where are they more common,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what lat/long locations are most likely to experience hurricanes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what are lengths/timings of hurricane seasons in different regions of the world,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average storm length,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.56044376,0.23512736
what is the average time that it takes to go from depression to storm,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"what is the relationship, if any, between wind and pressure",,,,,,,,
how does wind change over the course of each hurricane,,Ambiguity found by llm only,,,Resolution found by llm only,,,
average tropical storm diameter,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the relationship between storm day and hu_diameter,,Ambiguity found by llm only,,,Resolution found by llm only,,,
are there any repeat names of storms,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what month has the strongest hurricanes,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5652816,0.4640444
how has wind speed changed over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the maximum pressure of a certain hurricane,,Ambiguity found by llm only,,,Resolution found by llm only,,,
relationship between position and the strength of the hurricane,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5708865,0.3188053
average time for each hurricane status,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which hurricane lasted the longest,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me the sales distribution of type 4046 in 2015,,,,,,,,
what are the groups of regions according to three types of avocados sales ratio,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.54484403,0.22528788
"using the three types of avocado's sales ratio, provide the groups of regions",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.847305,0.10935771
provide the distribution of the sales in 2015 of type 4046,,,,,,,,
the oldest user was born in what year,,,,,,,,
indicate all the travels taking more than 1000 minutes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
