gemini_query,gemini_positive match,gemini_llm match,gemini_gt match,gemini_resolution positive match,gemini_resolution llm match,gemini_resolution gt match,gemini_ambiguity similarity match,gemini_resolution similarity match
"in terms of the readings, group the similar timestamps for the sants",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.4083526,
"for o3, what is the distribution value",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"in the whole table, show me the best record of pm10",,,Ambiguity found by gt only,,,Resolution found by gt only,,
"based on their pollution, group the locations together that are similar",Ambiguity found by both llm and gt,,,,Resolution found by llm only,,0.5857538,
please look at the o3 data and find the minimum number,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.1940306,0.6994612
in what manner are good air quality records dispersed throughout the monitored region,,,Ambiguity found by gt only,,,Resolution found by gt only,,
are there any outliers in pm10 readings from a temporal perspective,,,Ambiguity found by gt only,,,Resolution found by gt only,,
work out the quality of o3,,,Ambiguity found by gt only,,,,,
put the readings in order according to their pm 10 values,,,,,,,,
is distribution for pm10 value anything other than normal,,,,,,,,
show me a day with extremely bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4904741,0.40007305
what days had really bad air quality,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.44869113,0.49958813
give me the count of missing readings in this table,,,,,,,,
"show me the data attribute that has the most na values, for example the hardest data points to collect",,,,,,,,
describe the change in air quality over one day describe the change in each air pollutant,,Ambiguity found by llm only,,,Resolution found by llm only,,,
could you search all available values for pm10 quality,,,,,,,,
are the o3 value and the pm10 value dependent on each other,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"across the monitored region, what is the distribution of records for good air quality",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what months are hurricanes most common,,,,,,,,
where are storms most common depending on the time of year,,,,,,,,
are there more storms in recent years,,,,,,,,
what does the distribution of the storms look like,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the most frequent status over the year,,,,,,,,
"what is the main factor depending on different status (wind, time, pressure, or etc)",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.47453582,0.46890104
what was the name of the earliest storm,,,,,,,,
how many hurricanes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the name of the largest storm,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what storm produced the greatest air pressure,,,,,,,,
how many storms are named caroline,,,,,,,,
what storm produced the least air pressure,,,,,,,,
what storm had the greatest diameter of tropical storm strength winds,,,,,,,,
what storm had the greatest diameter of hurricane strength winds,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how many storms occur per year, on average",,,,,,,,
"on average, what is the first date that a tropical cyclone (tropical depression, tropical storm, or hurricane) forms on every year",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.52294695,0.8788223
is there a correlation between wind speed and air pressure,,,,,,,,
is there a correlation between the duration of the storm and wind speed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
where have all hurricanes been recorded on the globe where are they more common,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what lat/long locations are most likely to experience hurricanes,,,,,,,,
what are lengths/timings of hurricane seasons in different regions of the world,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average storm length,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.4178884,0.42496583
what is the average time that it takes to go from depression to storm,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"what is the relationship, if any, between wind and pressure",,,,,,,,
how does wind change over the course of each hurricane,,Ambiguity found by llm only,,,Resolution found by llm only,,,
average tropical storm diameter,,,,,,,,
what is the relationship between storm day and hu_diameter,,,,,,,,
are there any repeat names of storms,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what month has the strongest hurricanes,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.34793192,0.16273886
how has wind speed changed over time,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the maximum pressure of a certain hurricane,,Ambiguity found by llm only,,,Resolution found by llm only,,,
relationship between position and the strength of the hurricane,,,Ambiguity found by gt only,,,Resolution found by gt only,,
average time for each hurricane status,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which hurricane lasted the longest,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you tell me the sales distribution of type 4046 in 2015,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what are the groups of regions according to three types of avocados sales ratio,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.76912355,0.27617815
"using the three types of avocado's sales ratio, provide the groups of regions",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.8115984,0.2219345
provide the distribution of the sales in 2015 of type 4046,,,,,,,,
the oldest user was born in what year,,,,,,,,
indicate all the travels taking more than 1000 minutes,,,,,,,,
"show me a list of the tripe that take longer than 1,000 minutes",,Ambiguity found by llm only,,,Resolution found by llm only,,,
tell me the distribution of travel times between wells st & elm st and lake shore dr & ohio st,,Ambiguity found by llm only,,,Resolution found by llm only,,,
do you know of any trip that would take longer than 1000 minutes,,Ambiguity found by llm only,,,Resolution found by llm only,,,
show me a list of neighborhoods with the number of male births from least to most,,,Ambiguity found by gt only,,,Resolution found by gt only,,
show me the distribution of births across all districts in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
let me know if there are groups of neighborhoods with similar birth gender ratios,,Ambiguity found by llm only,,,Resolution found by llm only,,,
retrieve the neighborhood with more than 100 female births in ciutat vella in 2013,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.37897575,0.23631407
which neighborhood in ciutat vella has more than 100 females born in the year 2013,,Ambiguity found by llm only,,,,,,
"barcelona's districts, please list each",,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the distribution of all births in all districts between 2013 and 2017,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what neighborhood had 56 boys born in 2017,,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a correlation between acceleration and horsepower,,,,,,,,
how many heavy cars are in the dataset,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.78198254,0.3819673
are there any american 5 cylinder cars,,,,,,,,
how does displacement relate to fuel economy for cars from europe v usa,,Ambiguity found by llm only,,,Resolution found by llm only,,,
which cylinder cars have the highest fuel economy,,,,,,,,
which countries have the most cars in this dataset,,,,,,,,
which countries have the highest acceleration for cars of different cylinders,,,,,,,,
how do the horsepowers of the cars from different regions change with years,,,,,,,,
the distribution of the number of cylinders of cars based on different origins,,,,,,,,
what is the correlation between displacement and mpg of cars with different origins,,,,,,,,
count the number of cars based on their origins,,,,,,,,
what is the correlation between horsepower and acceleration,,,,,,,,
is there a correlation between cars' horsepower and acceleration,,,,,,,,
"how does displacement relate to mpg for individual models, partitioned by country",,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how does weight relate to acceleration for car models, small multiples by origin",,,,,,,,
how does horsepower relate to acceleration for individual car models,,,,,,,,
"compare the number of models in usa, japan and europe",,,,,,,,
does higher horsepower mean lower acceleration,,,,,,,,
how many cylinders do cars manufactured in different countries have,,,,,,,,
compare car cylinder count against acceleration across countries,,,,,,,,
how many cars do each country manufacture,,,,,,,,
what's the mileage for cars based on the number of cylinders present,,,Ambiguity found by gt only,,,Resolution found by gt only,,
does higher cylinder count mean mean lower mileage,,,Ambiguity found by gt only,,,Resolution found by gt only,,
how does mileage relate to cylinder count,,,Ambiguity found by gt only,,,Resolution found by gt only,,
what is the average mpg for different cylinders,,,,,,,,
what is the relation between horsepower and acceleration,,,,,,,,
how weight varies each year,,,,,,,,
how is acceleration related to horsepower,,,,,,,,
how has horsepower changed over time by country,,,,,,,,
have cars gotten lighter over time,,,,,,,,
how many models are proudced by each country,,Ambiguity found by llm only,,,Resolution found by llm only,,,
what is the average weight of cars over time,,,,,,,,
what is the distribution of weight across all cars,,,,,,,,
how much do various cars weigh,,,,,,,,
what is the range of weights for all cars,,,,,,,,
where do the cars originate from,,,,,,,,
how has avg (horsepower) evolved over time | segregate it by the car origin,,,,,,,,
compare avg (acceleration) with cylinders | segregate the cylinders by their origin,,Ambiguity found by llm only,,,Resolution found by llm only,,,
how does avg (weight) evolve over the years,,,,,,,,
how does the acceleration of cars from different countries vary by the number of cylinders,,,,,,,,
how does acceleration vary by weight for cars from different regions,,,,,,,,
what is the average mpg for cars with different cylinders,,,,,,,,
how does mpg vary by the number of cylinders in a car,,,,,,,,
how does acceleration change with horsepower,,,,,,,,
how does acceleration behave compared to horsepower,,,,,,,,
how many cars are from each region,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"how does mpg compare to displacement, broken out by region",,,,,,,,
"for each region, how does a car's mpg vary with displacement",,,,,,,,
how has horsepower changed over time in each region,,,,,,,,
what is the breakdown of cars by the number of cylinders in each region,,,,,,,,
how many cars have various numbers of cylinders in each region,,,,,,,,
what is the average weight of cars by model year,,,,,,,,
how has the average weight of cars changed over the years,,,,,,,,
how can the population of ashley be illustrated to show distribution across five years,,,Ambiguity found by gt only,,,Resolution found by gt only,,
"how likely is it that, if i was born in 2000, i was born in a county with no less than 20,000 people",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.3979237,0.37023222
give me the average population rating for ashley in the year 2000,,,Ambiguity found by gt only,,,Resolution found by gt only,,
identify the county that has the least population each year,,,,,,,,
what is the average population in 2000,,,Ambiguity found by gt only,,,Resolution found by gt only,,
is there a regional concentration trend in gdp development,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.47690678,0.17166841
how are gdp and mteu correlated,,,,,,,,
is there an outlier within the value distribution of albinism that causes the result to be skewed,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"find all the types of genetic diseases with greater than 1,000 patients",,,,,,,,
tell me the maximum and minimum number of patients with autism across all regions,,,,,,,,
what is the spatial and temporal correlation of albinism,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.7515762,0.49165708
does this data represent outliers in the number of patients,,,Ambiguity found by gt only,,,Resolution found by gt only,,
take out the regions with a number of patients larger than 500,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"looking at the number of people in all regions with a visual impairment, what is the median",,,,,,,,
does the value distribution of albinism look skewed,,,,,,,,
is there an obvious clustering,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.5690141,0.40483388
kindly rate the regions on the basis of the number of patients,,,,,,,,
give me the movie that received the most nominations,,Ambiguity found by llm only,,,Resolution found by llm only,,,
"out of the winners for best performance by an actor in a motion picture- musical or comedy from 2003 to 2020, the most abnormal age belongs to which actor",Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.39382738,0.18841834
can you organize the results of the table by sorting the list according to the age of the stars,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.65218055,
can you list all the results in the table about the movie ' about  ',,,,,,,,
what was the gender of all actors among all the final winners in the 60th ceremony,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.6465889,
tell me who won the best performance by an actor in a motion picture- drama award at the 60th ceremony,,Ambiguity found by llm only,,,Resolution found by llm only,,,
can you list all the results in the table about the movie ' about schmidt ',,,,,,,,
i would like to review the dispersement of the amount of nominations,Ambiguity found by both llm and gt,,,Resolution found by both llm and gt,,,0.336106,0.43808544
"in the 60th ceremony, the award for best performance by an actor in a motion picture was won by whom",,,,,,,,
which actor was nominated for the most awards,,Ambiguity found by llm only,,,,,,
can the actors nationality impact the outcome,Ambiguity found by both llm and gt,,,,,Resolution found by gt only,0.53388125,
what was the number of candidates that were nominated for best performance by an actor in a motion picture-drama at he 60th ceremony,,,,,,,,
what is the total number of movies released in the year 1998,,,,,,,,
can you tell me what movie won best original score in a motion picture in 1997,,Ambiguity found by llm only,,,Resolution found by llm only,,,
